,date,price
0,1987-05,18.58
1,1987-06,18.86047619047619
2,1987-07,19.856521739130436
3,1987-08,18.97952380952381
4,1987-09,18.313181818181818
5,1987-10,18.757727272727273
6,1987-11,17.780952380952378
7,1987-12,17.05409090909091
8,1988-01,16.749444444444446
9,1988-02,15.729523809523808
10,1988-03,14.731304347826086
11,1988-04,16.59526315789474
12,1988-05,16.314090909090908
13,1988-06,15.543636363636363
14,1988-07,14.907619047619047
15,1988-08,14.89391304347826
16,1988-09,13.179545454545455
17,1988-10,12.405714285714286
18,1988-11,13.024545454545455
19,1988-12,15.306666666666667
20,1989-01,17.171904761904763
21,1989-02,16.8885
22,1989-03,18.700952380952383
23,1989-04,20.319499999999998
24,1989-05,18.633181818181818
25,1989-06,17.670909090909092
26,1989-07,17.622857142857143
27,1989-08,16.77
28,1989-09,17.766190476190474
29,1989-10,18.907727272727275
30,1989-11,18.727272727272727
31,1989-12,19.838947368421053
32,1990-01,21.251818181818184
33,1990-02,19.813499999999998
34,1990-03,18.387272727272727
35,1990-04,16.612105263157893
36,1990-05,16.352272727272727
37,1990-06,15.104761904761904
38,1990-07,17.16909090909091
39,1990-08,27.167391304347827
40,1990-09,34.899
41,1990-10,36.022608695652174
42,1990-11,33.06727272727273
43,1990-12,28.273500000000002
44,1991-01,23.566363636363636
45,1991-02,19.536
46,1991-03,19.0825
47,1991-04,19.18
48,1991-05,19.186818181818182
49,1991-06,18.1675
50,1991-07,19.39695652173913
51,1991-08,19.772727272727273
52,1991-09,20.50190476190476
53,1991-10,22.20608695652174
54,1991-11,21.108571428571427
55,1991-12,18.41095238095238
56,1992-01,18.163636363636364
57,1992-02,18.0535
58,1992-03,17.63090909090909
59,1992-04,18.91904761904762
60,1992-05,19.8885
61,1992-06,21.15818181818182
62,1992-07,20.236521739130435
63,1992-08,19.738095238095237
64,1992-09,20.27
65,1992-10,20.26181818181818
66,1992-11,19.214285714285715
67,1992-12,18.13952380952381
68,1993-01,17.386000000000003
69,1993-02,18.466315789473686
70,1993-03,18.785217391304347
71,1993-04,18.674500000000002
72,1993-05,18.507894736842104
73,1993-06,17.652727272727272
74,1993-07,16.775454545454547
75,1993-08,16.696190476190477
76,1993-09,16.01181818181818
77,1993-10,16.606666666666666
78,1993-11,15.196363636363635
79,1993-12,13.725714285714286
80,1994-01,14.2915
81,1994-02,13.802000000000001
82,1994-03,13.822608695652175
83,1994-04,15.231578947368419
84,1994-05,16.188
85,1994-06,16.763181818181817
86,1994-07,17.59952380952381
87,1994-08,16.89272727272727
88,1994-09,15.895
89,1994-10,16.49047619047619
90,1994-11,17.191363636363636
91,1994-12,15.931999999999999
92,1995-01,16.551904761904762
93,1995-02,17.1145
94,1995-03,17.006521739130434
95,1995-04,18.648333333333333
96,1995-05,18.35090909090909
97,1995-06,17.312727272727273
98,1995-07,15.854285714285714
99,1995-08,16.096363636363638
100,1995-09,16.69952380952381
101,1995-10,16.11090909090909
102,1995-11,16.86090909090909
103,1995-12,17.925263157894737
104,1996-01,17.853181818181817
105,1996-02,17.99904761904762
106,1996-03,19.851904761904763
107,1996-04,20.9005
108,1996-05,19.154761904761905
109,1996-06,18.4565
110,1996-07,19.57086956521739
111,1996-08,20.51238095238095
112,1996-09,22.63047619047619
113,1996-10,24.162608695652175
114,1996-11,22.75952380952381
115,1996-12,23.782999999999998
116,1997-01,23.53761904761905
117,1997-02,20.850526315789473
118,1997-03,19.133000000000003
119,1997-04,17.555909090909093
120,1997-05,19.022857142857145
121,1997-06,17.580000000000002
122,1997-07,18.4645
123,1997-08,18.595499999999998
124,1997-09,18.46095238095238
125,1997-10,19.86521739130435
126,1997-11,19.17421052631579
127,1997-12,17.18190476190476
128,1998-01,15.186666666666667
129,1998-02,14.0695
130,1998-03,13.103181818181817
131,1998-04,13.526500000000002
132,1998-05,14.36315789473684
133,1998-06,12.206363636363637
134,1998-07,12.079565217391304
135,1998-08,11.914
136,1998-09,13.343636363636364
137,1998-10,12.702272727272726
138,1998-11,11.039047619047619
139,1998-12,9.824285714285715
140,1999-01,11.1145
141,1999-02,10.27157894736842
142,1999-03,12.511304347826087
143,1999-04,15.2945
144,1999-05,15.225263157894739
145,1999-06,15.863181818181818
146,1999-07,19.080000000000002
147,1999-08,20.219047619047622
148,1999-09,22.543181818181818
149,1999-10,22.002380952380953
150,1999-11,24.58409090909091
151,1999-12,25.473157894736843
152,2000-01,25.511
153,2000-02,27.775714285714283
154,2000-03,27.48608695652174
155,2000-04,22.764444444444443
156,2000-05,27.73761904761905
157,2000-06,29.795454545454547
158,2000-07,28.682380952380953
159,2000-08,30.19608695652174
160,2000-09,33.1447619047619
161,2000-10,30.96090909090909
162,2000-11,32.55227272727273
163,2000-12,25.66
164,2001-01,25.624545454545455
165,2001-02,27.503500000000003
166,2001-03,24.49727272727273
167,2001-04,25.657142857142855
168,2001-05,28.313636363636363
169,2001-06,27.84904761904762
170,2001-07,24.613636363636363
171,2001-08,25.68
172,2001-09,25.6195
173,2001-10,20.53782608695652
174,2001-11,18.797272727272727
175,2001-12,18.705263157894734
176,2002-01,19.416818181818183
177,2002-02,20.2755
178,2002-03,23.696666666666665
179,2002-04,25.72863636363636
180,2002-05,25.345454545454547
181,2002-06,24.081666666666667
182,2002-07,25.73608695652174
183,2002-08,26.651363636363637
184,2002-09,28.39952380952381
185,2002-10,27.54304347826087
186,2002-11,24.335238095238097
187,2002-12,28.334500000000002
188,2003-01,31.183636363636364
189,2003-02,32.771
190,2003-03,30.612380952380953
191,2003-04,25.06772727272727
